Text,text_id
ብርሀን ፈይሳየኢትዮጵያ ቦክስ ፌዴሬሽን በየአመቱ የሚያዘጋጀው የክለቦች ቻምፒዮና በአዲስ አበባ ከተማ በመካሄድ ላይ ይገኛል ,1
 የተሻለ ብቃት ያሳዩ ቦክሰኞች ለቶኪዮ ኦሊምፒክ ማጣሪያ ተሳታፊ እንደሚሆኑም ታውቋል ,2
በቦክስ ስፖርት ከሚካሄዱት አመታዊ ቻምፒዮናዎች መካከል አንዱ በክለቦች መካከል የሚካሄደው ነው የዚህ ውድድር የመጀመሪያው ዙር በአዲስ አበባ ከተማ ተጀምሯል ,3
 የኢትዮጵያ ቦክስ ፌዴሬሽን ከአዲስ አበባ ቦክስ ፌዴሬሽን ጋር በመተባበር በተዘጋጀው በዚህ ቻምፒዮና ከኮቪድ 19 ወረርሽኝ መከሰት በኋላ ለመጀመሪያ ጊዜ የተካሄደ ውድድርም ነው ,4
 በውድድሩም ላይ አምስት ክለቦች ከአዲስ አበባ ፌዴራልፖሊስ ፌዴራል ማረሚያ ቤቶች አዲስ አበባ ፖሊስ የኢትዮጵያ ወጣቶች ስፖርት አካዳሚ እና ኦሞቲክ ቦክስ ሁለት ክለቦች ከአማራ ክልል ጎንደር ከነማ እና ደሴ ከነማ እንዲሁም ድሬዳዋ ከነማ በድምሩ ስምንት ክለቦች ተሳታፊ መሆናቸውን የኢትዮጵያ ቦክስ ፌዴሬሽን መረጃ ያሳያል ,5
 በአጠቃላይ ክለቦቻቸውን ወክለውም 12 ሴትና 76 ወንድ ቦክሰኞች በጥቅሉ 88 ተወዳዳሪዎች ተሳታፊ ይሆናሉ ,6
 ውድድሩ የሚካሄደው በራስ ሀይሉ ስፖርት ትምህርትና ስልጠና ማእከል ሲሆን በ10 ክብደቶች በ49 52 57 60 63 69 70 81 89 እና 91 ኪሎ ግራሞች እየተካሄደም ይገኛል ,7
 የቦክስ ስፖርት ከንክኪ ስፖርቶች መካከል አንዱ እንደመሆኑ ጨዋታው በሚካሄድበት ወቅት ቦክሰኞቹ አካላዊ ቅርርብ ሊያደርጉ እና ሊነካኩ ይችላሉ ,8
 በመሆኑም በዚህ ረገድ ውድድሩ ሙሉ ለሙሉ የኮቪድ 19 ጥንቃቄን በተላበሰ መልኩ እየተካሄደ መሆኑን ነው ፌዴሬሽኑ ያረጋገጠው ,9
 ይኸውም ተወዳዳሪዎችና አሰልጣኞች የኮቪድ ምርመራ እንዲያደርጉና ከሌሎች ሰዎች ጋር እንዳይገናኙ በካምፕ እንዲቆዩ በማድረግ ነው  ,10
 ከዚህ ባሻገር ውድድር የሚደረግበት ሪንግ ቶሎ ቶሎ በኬሚካል እንዲፀዱ እንዲሁም ተመልካቾች ውድድሩ ላይ እንዳይገኙም ተደርጓል  ,11
 ኮቪድ 19 አለም አቀፍ ወረርሽኝ እንደመሆኑ በመላው አለም ስፖርታዊ ውድድሮች ተቋርጠው መቆየታቸው የሚታወስ ነው  ,12
 ከእነዚህ ውድድሮች መካከል ለቶኪዮ 2020 ኦሊምፒክ የቦክስ ስፖርት ማጣሪያ የሚካሄደው ውድድር ይጠቀሳል  ,13
 ውድድሮች ወደ እንቅስቃሴ መግባታቸውን ተከትሎም ማጣሪያው የሚቀጥል ይሆናል  ,14
 ኢትዮጵያም በዚህ ቻምፒዮና በመጀመሪያው ዙር የተሻለ ብቃት ያሳዩ ቦክሰኞችን በማጣሪያው የምታሳትፍ መሆኑ ታውቋል  ,15
 ቻምፒዮናው አራት ዙሮች ያሉት ሲሆን ሁለተኛው ዙር ከአማራ ክልል ቦክስ ፌዴሬሽን ጋር በመሆን ጎንደር ላይ ሶስተኛውን ከደቡብ ክልል ቦክስ ፌዴሬሽን ጋር በመሆን ወላይታ እንዲሁም የመጨረሻውና የማጠቃለያው ውድድር አዲስ አበባ ላይ የሚካሄድም ይሆናል  ,16
 ቻምፒዮናው ጥር 42013 አም የተጀመረ ሲሆን እስከ ጥር 72013 አም ድረስም ይቆያል  ,17
 የአዲስ ዘመን ጋዜጣ ቀደምት ዘገባዎች በእጅጉ ተነባቢ ዛሬም ላገኛቸው በእጅጉ ተነባቢ ናቸው  ,18
እኛም ከእነዚህ ዘገባዎች ጋዜጣው በ1950ቹ ያስነበባቸውን ወጣ ያሉ ዘገባዎች ለዛሬ ይዘንላችሁ ቀርበናል  ,19
 በዛሬው የአዲስ ዘመን ዱሮ አምዳችን አዲስ ዘመን ጋዜጣ በ1950ዎቹ ይዟቸው ከወጣ ዘገባዎች በአዘጋገባቸውና በይዘታቸው ተነባቢ ናቸው ያልናቸውን እና ሌሎች አስደናቂ ዘገባዎችን ይዘን ቀርበናል  ,20
